Year,ID Type,Primary Concentration,Secondary Concentration,Language,Secondary Languages,Programming Experience,Coding Frequency,Programming Comfort,Design Comfort,Computer Types,Operating Systems 1,Operating Systems 2,Operating Systems 3,Operating Systems 4,Gender,Age,State,Country,Combined Address
2009,,Computer Science,,C#,"HTML / CSS, Python, Ruby, SQL, Objective-C",1 to 3 years,Daily,4,,"Desktop, Laptop",Windows XP, Mac OS, Linux,,Male,25 to 44,MA,USA,
2009,,Applied Physics,,C++,"BASIC, C, C++, Java, HTML / CSS, Python, VB / VBScript",1 to 3 years,Once per Month,4,,Laptop,Mac OS,,,,Male,18 to 24,NM,USA,
2009,,Computer Science,,Ruby,"C, C++, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, Ruby, SQL",Over 3 years,Two or more times per Month,5,,Laptop,Windows XP, Mac OS,,,Male,18 to 24,CT,USA,
2009,,Economics,Computer Science,C,"C++, HTML / CSS",6 months to 1 year,Less than Once per Month,2,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,VA,USA,
2009,,History and Science,Government,C,"C, C++, HTML / CSS, PHP, SQL",1 to 3 years,Less than Once per Month,3,,Laptop,Windows Vista,,,,Female,18 to 24,KS,USA,
2009,,Computer Science,,C,"BASIC, C, C#, Java, HTML / CSS, LISP, PHP, Ruby, SQL, Haskell",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Female,25 to 44,MA,USA,
2009,,Digital Arts & Sciences,,Java,"C, C++, HTML / CSS",1 to 3 years,Less than Once per Month,3,,"Desktop, Laptop",Windows XP, Windows Vista, Mac OS,,Female,25 to 44,MA,USA,
2009,,Information Management Systems,,C++,"C, C++, C#, HTML / CSS, VB / VBScript",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows Vista, Linux,,Male,25 to 44,MA,USA,
2009,,Economics,Mathematics,BASIC,,Less than 6 months,Less than Once per Month,2,,Laptop,Windows Vista,,,,Male,18 to 24,,Slovakia,
2009,,Computer Science,Mathematics,C,"PHP, Python, SQL",Over 3 years,Weekly,4,,Laptop,Windows Vista, Linux / Unix,,,Male,18 to 24,,Romania,
2009,,Economics,,C,"BASIC, C++, C#, HTML / CSS",6 months to 1 year,Less than Once per Month,3,,Laptop,Windows XP,,,,Female,18 to 24,IL,USA,
2009,,Information Technology,Software engineer,SQL,"C++, Java",Less than 6 months,Weekly,2,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,25 to 44,VA,USA,
2009,,Information Management Systems,,VB / VBScript,"C, C++, HTML / CSS, SQL, VB / VBScript",Over 3 years,Once per Month,4,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,,MD,USA,
2009,,Information Management Systems,,Java,"Java, JavaScript, HTML / CSS, SQL, Web 2.0, J2EE",Over 3 years,Daily,5,,Laptop,Windows XP,,,,Male,25 to 44,IL,USA,
2009,,N/A,,Ruby,"C, Java, JavaScript, HTML / CSS, PHP, Ruby, matlab, actionscript 3.0",Over 3 years,Weekly,4,,Laptop,Mac OS,,,,Female,45 to 64,,France,
2009,,Information Management Systems,,HTML / CSS,"BASIC, C++, JavaScript, HTML / CSS, SQL, Pascal",Over 3 years,Less than Once per Month,4,,Laptop,Windows XP,,,,Male,25 to 44,VA,USA,
2009,,Economics,,C,"C++, HTML / CSS, LISP",1 to 3 years,Two or more times per Month,3,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,NY,USA,
2009,,Neurobiology,,PHP,"C, HTML / CSS, SQL",1 to 3 years,Once per Month,3,,Laptop,Windows Vista,,,,Male,18 to 24,NJ,USA,
2009,,N/A,,Java,"C#, Java, JavaScript, Python",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows Vista, Linux,,Male,25 to 44,MA,USA,
2009,,Information Technology,,C,"C, C++, Java, LISP, Perl, Python, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,25 to 44,BC,Canada,
2009,,N/A,,Java,"BASIC, C++, Java, JavaScript, HTML / CSS, LISP",Over 3 years,Daily,5,,"Desktop, Laptop",Mac OS,,,,Male,25 to 44,MA,USA,
2009,,Applied Sciences,,PHP,"Java, JavaScript, HTML / CSS, Perl, PHP",Over 3 years,Weekly,4,,"Desktop, Laptop",Windows Vista, Mac OS, Windows 7 Beta,,Female,25 to 44,CT,USA,
2009,,Software Engineering,,Java,"BASIC, Perl",1 to 3 years,Two or more times per Month,3,,"Desktop, Laptop",Mac OS,,,,Male,,,Italy,
2009,DCE,Information Management Systems,,HTML / CSS,JavaScript,1 to 3 years,Weekly,3,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,25 to 44,NY,USA,
2009,,Computer Science,,Java,"BASIC, C, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, SQL, VB / VBScript",Over 3 years,Daily,5,,Laptop,Windows XP, Mac OS,,,Male,25 to 44,MA,USA,
2009,,Digital Arts & Sciences,,BASIC,None.,Less than 6 months,Less than Once per Month,1,,Laptop,Mac OS,,,,Female,25 to 44,WA,USA,
2009,,Computer Science,Economics,Java,"C, Java, JavaScript, HTML / CSS, PHP, SQL",Over 3 years,Weekly,3,,"Desktop, Laptop",Windows Vista, Mac OS, Windows 7,,Male,18 to 24,,South Africa,
2009,,Information Technology,ISM,Java,"C++, Java, JavaScript, HTML / CSS, Perl, Ruby, SQL",Over 3 years,Weekly,4,,Laptop,Windows Vista,,,,Female,,RI,USA,
2009,,Philosophy,Computer Science,C,"Java, JavaScript, HTML / CSS, PHP",Less than 6 months,Weekly,3,,Laptop,Windows XP,,,,Male,18 to 24,PA,USA,
2009,,Applied Mathematics,,C,"C, C++, Java, HTML / CSS, PHP",1 to 3 years,Once per Month,4,,Laptop,Mac OS,,,,Female,18 to 24,FL,USA,
2009,,Computer Science,,PHP,"C, C++, HTML / CSS, Perl, PHP, Python, SQL",Over 3 years,Weekly,5,,Laptop,Windows XP, Linux / Unix,,,Female,18 to 24,,Brazil,
2009,,Computer Science,Visual and Environmental Studies,C++,"C, Java, HTML / CSS, LISP, PHP, SQL",1 to 3 years,Daily,5,,Laptop,Windows Vista,,,,Female,18 to 24,CA,USA,
2009,,Digital Media,,HTML / CSS,"C, C++, HTML / CSS, PHP",1 to 3 years,Weekly,4,,Laptop,Mac OS,,,,Male,25 to 44,MA,USA,
2009,,Applied Physics,,HTML / CSS,"JavaScript, IDL, Fortran, Matlab, and Mathematica",1 to 3 years,Once per Month,3,,Laptop,Mac OS,,,,Female,18 to 24,MA,USA,
2009,,Economics,Computer Science,C,"C#, PHP, Python, SQL",1 to 3 years,Two or more times per Month,4,,Laptop,Windows Vista,,,,Male,18 to 24,OR,USA,
2009,,Economics,Computer Science,C,"JavaScript, HTML / CSS, PHP",Less than 6 months,Weekly,2,,Laptop,Mac OS,,,,Female,18 to 24,VA,USA,
2009,,Mathematics,Computer Science,BASIC,,Less than 6 months,Daily,3,,Laptop,Windows Vista,,,,Male,18 to 24,,Zimbabwe,
2009,,Information Technology,N/A,Java,"C, C#, Java, JavaScript, HTML / CSS",Over 3 years,Weekly,4,,Desktop,Windows XP,,,,Male,,WA,USA,
2009,,Computer Science,Physics,C,"JavaScript, PHP",Less than 6 months,Weekly,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,18 to 24,VA,USA,
2009,,Information Technology Management,N/A,HTML / CSS,"BASIC, HTML / CSS, VB / VBScript",6 months to 1 year,Less than Once per Month,3,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,VA,USA,
2009,,Computer Science,East Asian Studies,C,"C, C++, Java, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Two or more times per Month,4,,Laptop,Windows Vista,,,,Male,18 to 24,,Japan,
2009,,Literature,Economics,JavaScript,"C++, HTML / CSS",Over 3 years,Less than Once per Month,3,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,18 to 24,,Japan,
2009,,Mathematics,Computer Science,C++,C,1 to 3 years,Once per Month,3,,Laptop,Windows XP,,,,Female,18 to 24,NY,USA,
2009,,Information Technology,,Java,"BASIC, C, C++, C#, Java, JavaScript, HTML / CSS, Perl, PHP, SQL, VB / VBScript",Over 3 years,Daily,5,,Laptop,Mac OS,,,,Male,25 to 44,CA,USA,
2009,,Computer Science,VES (though more likely nothing),C,Java,1 to 3 years,Two or more times per Month,4,,"Desktop, Laptop",Windows Vista, Mac OS,,,Male,18 to 24,,Israel,
2009,,Information Management Systems,Considering DMAS concentration at Extension,HTML / CSS,"HTML / CSS, Perl, PHP, SQL",Less than 6 months,Less than Once per Month,2,,"Desktop, Laptop",Windows XP, Windows Vista, Mac OS, Windows 2000! (only sometimes),Female,25 to 44,IL,USA,
2009,,Undecided,,Python,"JavaScript, HTML / CSS, Perl, PHP, SQL",6 months to 1 year,Weekly,3,,"Desktop, Laptop",Windows XP, Mac OS, Linux / Unix, OpenBSD,Male,25 to 44,MA,USA,
2009,,Computer Science,,C#,"C++, Java, JavaScript, Ruby, SQL",Over 3 years,Daily,5,,Laptop,Windows XP,,,,Male,25 to 44,NY,USA,
2009,,Applied Mathematics - Economics,Computer Science,C,"C, C++, Python, SQL",1 to 3 years,Weekly,2,,Laptop,Mac OS,,,,Female,18 to 24,IL,USA,
2009,,Computer Science,,C,"C++, Java, JavaScript, HTML / CSS, PHP, Lua",Over 3 years,Weekly,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,18 to 24,CO,USA,
2009,,Information Technology,,Java,"C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows Vista,,,Male,25 to 44,MA,USA,
2009,,Mathematics,N/A,Java,"Java, VB / VBScript",1 to 3 years,Less than Once per Month,3,,Laptop,Windows XP,,,,Male,18 to 24,MA,USA,
2009,,Information Management Systems,,PHP,"JavaScript, HTML / CSS, SQL",Over 3 years,Daily,4,,"Desktop, Laptop",Mac OS,,,,Male,18 to 24,CA,USA,
2009,,Statistics,Computer Science,VB / VBScript,"C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, Scheme",1 to 3 years,Two or more times per Month,4,,Laptop,Mac OS,,,,Male,18 to 24,PA,USA,
2009,,Biotechnology,Informatics,HTML / CSS,"BASIC, MATLAB, FORTRAN",Less than 6 months,Less than Once per Month,2,,"Desktop, Laptop",Windows Vista,,,,Male,25 to 44,CA,USA,
2009,,Chemistry,Computer Science,C,"JavaScript, HTML / CSS, PHP, Actionscript",6 months to 1 year,Weekly,3,,Laptop,Windows XP, Linux / Unix,,,Male,18 to 24,MA,USA,
2009,,Molecular and Cellular Biology,,C,"JavaScript, HTML / CSS, PHP, Python, SQL",Less than 6 months,Two or more times per Month,3,,Laptop,Windows Vista, Linux / Unix,,,Male,18 to 24,NC,USA,
2009,,Economics,Computer Science,C,"C, JavaScript, HTML / CSS, SQL",6 months to 1 year,Weekly,4,,"Desktop, Laptop",Mac OS,,,,Male,18 to 24,NJ,USA,
2009,DCE,N/A,,Java,"JavaScript, HTML / CSS, LISP, Perl, PHP, Python, Ruby, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Mac OS,,,Male,45 to 64,MA,USA,
2009,,Digital Arts & Sciences,,C,"C, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript, Flash ActionScript",1 to 3 years,Two or more times per Month,3,,"Desktop, Laptop",Windows XP,,,,Female,25 to 44,MA,USA,
2009,,Information Management Systems,Software Engineering,SQL,"Java, HTML / CSS, SQL",Less than 6 months,Two or more times per Month,2,,"Desktop, Laptop",Windows Vista,,,,,,GA,USA,
2009,,Economics,Computer Science,C,"C++, Java, HTML / CSS",1 to 3 years,Two or more times per Month,4,,Laptop,Mac OS,,,,Male,18 to 24,SC,USA,
2009,,Visualization,Visualization with data mining techniques.,Java,"C, C++, Java, JavaScript, HTML / CSS, Ruby, VB / VBScript",1 to 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Windows Vista, Mac OS, Linux,Male,25 to 44,MA,USA,
2009,,Software Engineering,Information Management,Java,"BASIC, HTML / CSS, Perl",Over 3 years,Once per Month,5,,"Desktop, Laptop",Windows XP, Linux / Unix,,,Male,25 to 44,,Italy,
2009,,Computer Science,,HTML / CSS,"Limited C++, HTML, SQL",Less than 6 months,Less than Once per Month,1,,"Desktop, Laptop",Windows XP, Windows Vista, Linux,,Male,25 to 44,MA,USA,
2009,,Software Engineering,,Java,"Java, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Daily,5,,Laptop,Windows XP,,,,Male,25 to 44,MA,USA,
2009,,Applied Mathematics - Economics,Computer Science,C,"C, C++, C#",1 to 3 years,Less than Once per Month,3,,Laptop,Mac OS,,,,Male,18 to 24,TX,USA,
2009,,N/A,,C,"C, C++, Java, JavaScript, HTML / CSS, Perl, VB / VBScript, LabView",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP, Mac OS, Linux,,Male,25 to 44,MA,USA,
2009,,Applied Mathematics - Computer Science,Music,C,"C, C++, HTML / CSS",6 months to 1 year,Weekly,4,,Laptop,Windows XP,,,,Female,18 to 24,VA,USA,
2009,,Computer Science,Economics,C,"JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,4,,Laptop,Windows Vista,,,,Male,18 to 24,MS,USA,
2009,,Computer Science,,Java,"C++, JavaScript, HTML / CSS, PHP, SQL",Over 3 years,Daily,4,,Desktop,Windows XP, Windows Vista, Linux,,,,MA,USA,
2009,DCE,Information Technology,N/A,Ruby,"Java, JavaScript, HTML / CSS, PHP, Ruby, SQL",Over 3 years,Weekly,3,,Laptop,Windows XP,,,,Male,25 to 44,MA,USA,
2009,,Software Engineering,,Java,"JavaScript, HTML / CSS, SQL",Over 3 years,Two or more times per Month,4,,Laptop,Windows Vista, Linux / Unix,,,Male,25 to 44,MN,USA,
2009,,N/A,Computer Science,C,"JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,3,,Laptop,Windows XP,,,,Female,18 to 24,CA,USA,
2009,,Engineering Sciences,,C,"C++, Java, LISP",Over 3 years,Less than Once per Month,3,,Laptop,Windows Vista,,,,,,TX,USA,
2009,,Information Management Systems,,Java,"C, C++, Java, JavaScript, HTML / CSS, Perl, Ruby, SQL",Over 3 years,Daily,5,,Laptop,Windows XP,,,,Male,25 to 44,MA,USA,
2009,,Economics,Computer Science,C,"C++, Java, HTML / CSS, LISP, PHP, Python, SQL",1 to 3 years,Two or more times per Month,5,,Laptop,Windows Vista, Linux / Unix,,,Male,18 to 24,TX,USA,
2009,,Economics,Computer Science,PHP,"C, C++",6 months to 1 year,Once per Month,3,,Laptop,Windows Vista,,,,Male,18 to 24,CT,USA,
2009,,Computer Science,Engineering,PHP,"C, Java, JavaScript, HTML / CSS, SQL",1 to 3 years,Daily,5,,Laptop,Windows Vista, Mac OS,,,Male,18 to 24,MA,USA,
2009,,Psychology,,HTML / CSS,"BASIC, C, C++, Java, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Once per Month,4,,Laptop,Windows XP,,,,Female,18 to 24,MI,USA,
2009,,Psychology,Computer Science,Ruby,"C, C++, JavaScript, HTML / CSS, LISP, PHP, Ruby",1 to 3 years,Two or more times per Month,3,,"Desktop, Laptop",Windows XP, Linux / Unix,,,Male,18 to 24,OH,USA,
2009,,N/A,N/A,VB / VBScript,"Java, HTML / CSS, SQL",1 to 3 years,Less than Once per Month,3,,Laptop,Windows XP, Mac OS,,,Male,45 to 64,MA,USA,
2009,,N/A,N/A,PHP,"BASIC, C, C++, Java, JavaScript, HTML / CSS, PHP, SQL, VB / VBScript",Over 3 years,Daily,4,,"Desktop, Laptop",Windows XP, Windows Vista, Linux,,Male,25 to 44,MA,USA,
2009,,Computer Science,Economics,C,"C, C++, Java, HTML / CSS, LISP, PHP, SQL",1 to 3 years,Two or more times per Month,4,,Laptop,Windows Vista,,,,Male,18 to 24,NY,USA,
2009,,Computer Science,,Python,VB / VBScript,1 to 3 years,Weekly,4,,"Desktop, Laptop",Mac OS, Linux / Unix,,,Female,25 to 44,KS,USA,
2009,,Physics,Earth and Planetary Science,C,"HTML / CSS, LISP, PHP",6 months to 1 year,Two or more times per Month,3,,Laptop,Windows XP,,,,,,NJ,USA,
2009,,N/A,,C,"BASIC, C, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, SQL",Over 3 years,Less than Once per Month,3,,Laptop,Mac OS,,,,Female,,MA,USA,
2009,,Information Technology Management,Software engineering,PHP,"C#, Java, JavaScript, HTML / CSS, PHP, Ruby, SQL",1 to 3 years,Two or more times per Month,4,,Desktop,Windows XP,,,,Female,25 to 44,WA,USA,
2009,,Computer Science,,Java,"C, C++, HTML / CSS, LISP, SQL, VB / VBScript",Over 3 years,Weekly,5,,Laptop,Windows Vista,,,,Male,18 to 24,MA,USA,
2009,,Computer Science,,Python,"C, Java, Perl",Over 3 years,Two or more times per Month,4,,Laptop,Mac OS, Linux / Unix,,,Male,25 to 44,MA,USA,
2009,,Economics,Computer Science,PHP,"C, JavaScript, HTML / CSS, SQL",Less than 6 months,Once per Month,3,,Laptop,Mac OS,,,,Male,18 to 24,PA,USA,
2010,,Computer Science,N/A,Java,"C, C++, C#, Java, JavaScript, HTML / CSS, LISP, PHP, SQL",Over 3 years,Weekly,5,,Laptop,Windows Vista,,,,Male,18 to 24,NY,USA,
2010,,N/A,N/A,C#,"C, JavaScript, HTML / CSS, PHP, Python",Less than 6 months,Daily,4,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,CA,USA,
2010,,Masters of Architecture,N/A,Java,"Java, JavaScript, HTML / CSS, PHP, VB / VBScript, ActionScript 3/4, MEL",1 to 3 years,Two or more times per month,4,,Laptop,Windows XP,,,,Male,25 to 44,NM,USA,
2010,,Social Studies,N/A,JavaScript,"C, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Weekly,3,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2010,,Engineering Sciences,VES,C,"HTML / CSS, PHP",6 months to 1 year,Less than once per month,1,,Laptop,Windows 7,,,,Female,18 to 24,NY,USA,
2010,,Computer Science,Economics,PHP,"C, C++, HTML / CSS, PHP",1 to 3 years,Two or more times per month,3,,Laptop,Mac OS,,,,Female,18 to 24,FL,USA,
2010,,Mechanical Engineering,N/A,C,C,1 to 3 years,Two or more times per month,3,,Laptop,Mac OS,,,,Male,18 to 24,,China,
2010,,Computer Science,N/A,PHP,"C, JavaScript, HTML / CSS, SQL",Less than 6 months,Daily,3,,Laptop,Windows 7,,,,Male,18 to 24,FL,USA,
2010,,Computer Science,Mathematics,Ruby,"BASIC, C, C++, C#, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, Ruby, SQL, VB / VBScript",Over 3 years,Daily,5,,"Desktop, Laptop",Windows 7,,,,Male,25 to 44,MA,USA,
2010,,Organismic and Evolutionary Biology,Computer Science,C,"C, HTML / CSS, PHP, SQL",Less than 6 months,Less than once per month,2,,Laptop,Windows Vista,,,,Male,18 to 24,FL,USA,
2010,,History of Science,N/A,C,"HTML / CSS, PHP",6 months to 1 year,Once per month,3,,Laptop,Mac OS,,,,Female,,DC,USA,
2010,,ALM Information Technology,N/A,Java,"C, C++, Java, JavaScript, HTML / CSS, Perl, PHP, Python, SQL, VB / VBScript",Over 3 years,Less than once per month,5,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,VA,USA,
2010,,ALM Information Technology,N/A,C++,C,Over 3 years,Less than once per month,3,,Laptop,Mac OS,,,,Male,25 to 44,MA,USA,
2010,,Sustainable Design,N/A,BASIC,processing,Less than 6 months,Once per month,1,,Laptop,Windows Vista,,,,Female,25 to 44,MA,USA,
2010,,Visual and Environmental Sciences,Computer Science,Python,"C, C++, C#, Java, JavaScript, HTML / CSS, Python, SQL, VB / VBScript, ActionScript",Over 3 years,Weekly,3,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,IL,USA,
2010,,Biomedical Engineering,Computer Science,C,"JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Less than once per month,1,,Laptop,Windows XP,,,,Male,18 to 24,FL,USA,
2010,,Computer Science,Neurobiology,C,"HTML / CSS, PHP, SQL",Less than 6 months,Less than once per month,3,,Laptop,Windows 7,,,,Male,18 to 24,NY,USA,
2010,,Computer Science,N/A,Java,"C, JavaScript, HTML / CSS, PHP, SQL",1 to 3 years,Weekly,3,,Laptop,Mac OS,,,,Female,25 to 44,MA,USA,
2010,,Economics,Computer Science,Python,"C, C#, HTML / CSS, PHP, Python, SQL",1 to 3 years,Two or more times per month,4,,Laptop,Windows 7,,,,Male,18 to 24,OR,USA,
2010,,HAA,Computer Science,C,"Java, JavaScript, HTML / CSS, PHP, SQL",Less than 6 months,Two or more times per month,1,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,OH,USA,
2010,,Psychology,Computer Science,Ruby,"C, C++, Java, JavaScript, HTML / CSS, LISP, Perl, PHP, SQL",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,18 to 24,VA,USA,
2010,,Economics,Computer Science,C,"C, HTML / CSS",Less than 6 months,Weekly,2,,Laptop,Windows XP,,,,Male,18 to 24,MA,USA,
2010,,Undecided,N/A,PHP,"BASIC, C, C++, Java, HTML / CSS, Perl, PHP, SQL",Over 3 years,Two or more times per month,4,,Laptop,Mac OS,,,,Female,18 to 24,KY,USA,
2010,,Computer Science,N/A,C,"C, C++, HTML / CSS",Over 3 years,Two or more times per month,5,,"Desktop, Laptop",Windows 7,,,,Male,18 to 24,NY,USA,
2010,,Design and Technology,Bachelors in Architecture,C,Python,1 to 3 years,Weekly,3,,Laptop,Windows Vista,,,,Male,,AP,India,
2010,,Applied Mathematics Computer Science,N/A,C++,"HTML / CSS, PHP, SQL",Less than 6 months,Weekly,2,,Laptop,Mac OS,,,,Female,18 to 24,FL,USA,
2010,,Economics,Computer Science,JavaScript,"C, JavaScript, HTML / CSS, PHP",6 months to 1 year,Less than once per month,3,,Laptop,Windows XP,,,,Male,18 to 24,,Japan,
2010,,Digital Media Sciences,N/A,JavaScript,"JavaScript, HTML / CSS, PHP, SQL, LSL (videogame language)",1 to 3 years,Daily,4,,"Desktop, Laptop",Windows 7,,,,Female,25 to 44,MA,USA,
2010,,VES,Computer Science,C,"C, HTML / CSS, PHP, SQL",Less than 6 months,Once per month,2,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2010,,Computer Science,N/A,Java,"C, C++, JavaScript, HTML / CSS, Perl, PHP, Python, SQL",Over 3 years,Weekly,4,,Laptop,Windows XP,,,,Male,25 to 44,MA,USA,
2010,,ALM Information Technology,N/A,C++,"BASIC, C, C++, Java, JavaScript, HTML / CSS, LISP, Perl",Over 3 years,Daily,5,,"Desktop, Laptop",Windows XP,,,,Male,45 to 64,ME,USA,
2010,,ALM Information Technology,N/A,HTML / CSS,"Java, JavaScript, SQL",Less than 6 months,Less than once per month,2,,Laptop,Windows Vista,,,,Female,25 to 44,MA,USA,
2010,,Computer Science,N/A,C++,"C, HTML / CSS, LISP, Python, VB / VBScript, Scheme, OpenGL, ML",Over 3 years,Weekly,4,,Laptop,Windows Vista,,,,Female,18 to 24,MA,USA,
2010,,CS,N/A,Java,"Java, HTML / CSS, SQL",Less than 6 months,Less than once per month,2,,"Desktop, Laptop",Windows XP,,,,Male,25 to 44,MA,USA,
2010,,Chemical & Physical Biology,Computer Science,Python,"C, JavaScript, HTML / CSS, PHP, Python, SQL",1 to 3 years,Once per month,4,,Laptop,Windows XP,,,,Male,18 to 24,MA,USA,
2010,,ALM Information Technology,N/A,HTML / CSS,"HTML / CSS, PHP, SQL, ColdFusion",1 to 3 years,Weekly,3,,Laptop,Mac OS,,,,Female,18 to 24,CA,USA,
2010,,Economics,Computer Science,C,"C++, HTML / CSS, Python",1 to 3 years,Less than once per month,2,,Laptop,Mac OS,,,,Female,18 to 24,AL,USA,
2010,,ALM Information Technology,N/A,Java,"C, C#, JavaScript, HTML / CSS, SQL, VB / VBScript",Over 3 years,Daily,5,,Desktop,Windows Vista,,,,Female,25 to 44,,Germany,
2010,,Computer Science,Astrophysics,C,PHP,Less than 6 months,Weekly,3,,Laptop,Mac OS,,,,Male,18 to 24,CA,USA,
2010,,Computer Science,N/A,C#,"C#, HTML / CSS, SQL, VB / VBScript",Over 3 years,Less than once per month,3,,Laptop,Windows 7,,,,Female,25 to 44,AZ,USA,
